ona,third,plural,nominative,neuter
oni,third,plural,nominative,masculine
ony,third,plural,nominative,feminine
ono,third,singular,nominative,neuter
on,third,singular,nominative,masculine
ona,third,singular,nominative,feminine
vy,second,number,nominative
ty,second,singular,nominative,formal
my,first,plural,nominative
já,first,singular,nominative
je,third,plural,accusative,emphasis
ně,third,plural,accusative,adposition
jej,third,singular,accusative,neuter
tvého,second,singular,possessive,accusative,masculine,animate
tvoji,second,singular,possessive,accusative,feminine
moje,first,plural,possessive,accusative,gender
moje,first,singular,possessive,accusative,neuter
můj,first,singular,possessive,accusative,masculine,inanimate
mého,first,singular,possessive,accusative,masculine,animate
moji,first,singular,possessive,accusative,feminine
tvých,second,plural,possessive,locative
tvém,second,singular,possessive,locative,neuter
tvém,second,singular,possessive,locative,masculine
tvojí,second,singular,possessive,locative,feminine
mých,first,plural,possessive,locative
mém,first,singular,possessive,locative,neuter
mém,first,singular,possessive,locative,masculine
mojí,first,singular,possessive,locative,feminine
tvými,second,plural,possessive,instrumental
tvým,second,singular,possessive,instrumental,neuter
tvým,second,singular,possessive,instrumental,masculine
tvojí,second,singular,possessive,instrumental,feminine
mými,first,plural,possessive,instrumental
mým,first,singular,possessive,instrumental,neuter
mým,first,singular,possessive,instrumental,masculine
mojí,first,singular,possessive,instrumental,feminine
sebe,person,genitive,reflexive,stressed
si,person,dative,reflexive,unstressed
sobě,person,dative,reflexive,stressed
se,person,accusative,reflexive,unstressed
sebe,person,accusative,reflexive,stressed
sobě,person,locative,reflexive,stressed
sebou,person,instrumental,reflexive,stressed
svoje,person,plural,reflexive,possessive,nominative,gender
svoji,person,plural,reflexive,possessive,nominative,masculine,animate
svoje,person,singular,reflexive,possessive,nominative,neuter
svůj,person,singular,reflexive,possessive,nominative,masculine
svoje,person,singular,reflexive,possessive,nominative,feminine
svých,person,plural,reflexive,possessive,genitive,gender
svého,person,singular,reflexive,possessive,genitive,neuter
svého,person,singular,reflexive,possessive,genitive,masculine
svojí,person,singular,reflexive,possessive,genitive,feminine
svým,person,plural,reflexive,possessive,dative,gender
svému,person,singular,reflexive,possessive,dative,neuter
svému,person,singular,reflexive,possessive,dative,masculine
svojí,person,singular,reflexive,possessive,dative,feminine
svoje,person,plural,reflexive,possessive,accusative,gender
svoje,person,singular,reflexive,possessive,accusative,neuter
svého,person,singular,reflexive,possessive,accusative,masculine,animate
svůj,person,singular,reflexive,possessive,accusative,masculine,inanimate
svoji,person,singular,reflexive,possessive,accusative,feminine
svých,person,plural,reflexive,possessive,locative,gender
svém,person,singular,reflexive,possessive,locative,neuter
svém,person,singular,reflexive,possessive,locative,masculine
svojí,person,singular,reflexive,possessive,locative,feminine
svými,person,plural,reflexive,possessive,instrumental,gender
svým,person,singular,reflexive,possessive,instrumental,neuter
svým,person,singular,reflexive,possessive,instrumental,masculine
svojí,person,singular,reflexive,possessive,instrumental,feminine
